1|2|2
1|3|2
1|4|6
1|5|8
1|6|8
1|7|2
1|8|4
1|9|2
1|10|2
1|11|4
1|12|9
2|1|2
2|91|2
2|93|2
2|13|2
2|54|7
2|19|2
2|94|2
2|18|2
2|95|2
2|96|3
2|97|2
2|99|2
2|101|3
2|26|7
2|20|2
2|24|4
2|102|2
2|103|2
2|104|2
2|6|9
2|105|2
2|21|2
2|106|2
2|107|2
2|22|2
3|1|2
3|9|2
3|26|7
3|197|5
3|314|1
3|11|4
3|22|2
4|1|6
4|60|3
4|61|5
4|155|2
4|156|2
4|36|1
4|157|6
4|73|5
4|62|2
4|158|3
4|59|2
4|63|8
5|153|5
5|117|2
5|251|2
5|1|8
5|118|2
5|119|2
5|252|2
5|253|2
5|254|2
5|58|4
5|148|2
5|179|7
5|71|2
5|120|2
5|14|4
5|255|2
5|121|2
5|87|1
5|256|2
5|29|2
5|257|2
5|258|2
5|183|2
5|33|2
5|259|2
5|116|3
5|122|2
6|2|9
6|1|8
6|93|8
6|19|8
6|94|8
6|13|8
6|18|8
6|95|7
6|96|8
6|98|8
6|97|7
6|99|10
6|52|7
6|26|12
6|20|8
6|24|10
6|102|7
6|104|9
6|103|9
6|105|8
6|106|9
6|107|7
6|22|9
7|1|2
7|9|2
7|19|2
7|55|5
7|11|4
7|33|6
7|22|5
8|1|4
8|11|2
9|1|2
9|3|2
9|86|5
9|7|2
9|245|1
9|10|3
9|85|6
9|20|2
9|59|6
10|1|2
10|9|3
11|1|4
11|3|4
11|7|4
11|8|2
11|55|3
12|1|9
12|224|7
12|159|2
12|195|4
12|129|2
12|161|2
12|162|2
12|124|2
12|163|2
12|110|6
12|130|2
12|126|2
12|164|2
12|165|2
12|90|4
12|127|2
12|26|7
12|166|2
12|167|2
12|168|2
12|70|8
12|128|2
12|40|6
12|73|5
12|170|2
12|172|2
12|171|2
12|173|2
12|174|2
12|175|2
13|2|2
13|6|8
14|15|4
14|16|3
14|17|2
14|5|4
15|178|2
15|279|2
15|298|3
15|14|4
15|179|2
15|224|2
15|128|8
15|180|2
15|278|2
15|269|2
15|177|3
15|153|2
15|260|3
15|58|6
16|268|2
16|294|5
16|14|3
16|64|4
17|153|4
17|46|4
17|14|2
17|35|4
17|41|2
18|6|8
18|2|2
18|19|2
18|20|3
18|21|2
18|22|2
19|2|2
19|91|2
19|92|2
19|93|2
19|94|2
19|95|2
19|18|2
19|27|6
19|28|4
19|96|3
19|112|1
19|113|1
19|101|3
19|102|2
19|104|2
19|103|2
19|6|8
19|7|2
19|105|2
19|106|2
19|21|2
19|107|2
19|22|2
20|2|2
20|91|3
20|25|4
20|93|3
20|94|3
20|95|3
20|18|3
20|96|3
20|9|2
20|101|3
20|102|3
20|104|3
20|103|3
20|275|1
20|6|8
20|105|2
20|106|3
20|21|3
20|22|2
20|107|3
21|2|2
21|91|2
21|93|2
21|19|2
21|94|2
21|95|2
21|18|2
21|96|2
21|101|2
21|20|3
21|102|3
21|103|2
21|104|2
21|105|2
21|106|2
21|107|2
21|22|3
22|2|2
22|3|2
22|91|2
22|92|2
22|93|2
